ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Tenure,TotalChildren,TotalSpent,TotalPurchases,Education_Encoded,Marital_Status_Encoded,Cluster,Income_Spent_Ratio,WebPurchase_Frequency
5524,1957,Graduation,Single,23.97948289900667,0,0,2012-09-04,1728.5566357018045,635,88,546,172,88,88,3,8,10,4,22.299240867878652,0,0,0,0,0,0,3,11,1,68,11.814468214104188,0.9504464285714286,16.483562772162855,171.027960650522,2.5056222389647376,0.6466636811464398,1,0.6874027618354387,0.6771358519928597
2174,1954,Graduation,Single,23.703774198847746,1,1,2014-03-08,1149.4368906322165,11,1,6,2,1,6,2,1,1,2,17.44703429338271,0,0,0,0,0,0,3,11,0,71,10.123465233978543,2.4537164081085545,10.519403516547374,41.35358213126374,2.5056222389647376,0.6466636811464398,0,0.4437860160285668,0.09878040541331498
4141,1965,Graduation,Together,24.232974954256008,0,0,2013-08-21,801.965043590464,426,49,127,111,21,42,1,8,2,10,15.02093100613474,0,0,0,0,0,0,3,11,0,60,11.092727379619332,0.9504464285714286,15.405173873778491,156.61969637060443,2.5056222389647376,1.1246697110587993,1,0.6357112118036873,0.721193240059104
6182,1984,Graduation,Together,23.030762814619308,1,0,2014-02-10,801.965043590464,11,4,20,10,3,5,2,2,0,4,19.873137580630683,0,0,0,0,0,0,3,11,0,41,10.320621800623355,1.7020814183399917,11.484990716624,55.761846411181324,2.5056222389647376,1.1246697110587993,0,0.4986804305645334,0.1937867735720344
5324,1981,PhD,Married,23.982720625883438,1,0,2014-01-19,2770.9721768270624,173,43,118,46,27,15,5,5,3,6,17.44703429338271,0,0,0,0,0,0,3,11,0,44,10.460688076166953,1.7020814183399917,14.511201375442159,113.39490353085166,4.252261905897649,1.1246697110587993,1,0.6050690245618294,0.4779800299553641
7446,1967,Master,Together,24.06771258423674,0,1,2013-09-09,512.4051710556702,520,42,98,0,42,14,2,6,4,10,19.873137580630683,0,0,0,0,0,0,3,11,0,58,11.032630123629541,1.7020814183399917,15.287023204226461,156.61969637060443,3.378942072431193,1.1246697110587993,1,0.6351672661339145,0.5438413082615069
965,1971,Graduation,Divorced,23.92596877424898,0,1,2012-11-13,1033.6129416182991,235,65,164,50,49,27,4,7,3,7,19.873137580630683,0,0,0,0,0,0,3,11,0,54,11.707559264432174,1.7020814183399917,15.002895576574264,135.00729995072805,2.5056222389647376,0.6466636811464398,1,0.627054884094038,0.5979042977186676
6177,1985,PhD,Married,23.307446057130647,1,0,2013-05-08,975.7009671113403,76,10,56,3,1,23,2,4,0,4,24.72534415512662,0,0,0,0,0,0,3,11,0,40,11.370336422243764,1.7020814183399917,13.171019642563257,70.17011069109891,4.252261905897649,1.1246697110587993,0,0.5650992223806406,0.3517925812797244
4855,1974,PhD,Together,23.189076367267518,1,0,2013-06-06,599.2731328161083,14,0,24,3,3,2,1,3,0,2,27.15144744237459,0,0,0,0,0,0,3,11,1,51,11.301334792784747,1.7020814183399917,11.2808755050076,48.55771427122254,4.252261905897649,1.1246697110587993,0,0.48647368814271064,0.2654553692113721
5899,1950,PhD,Together,21.144415779928025,1,1,2014-03-13,2018.1165082365983,28,0,6,1,1,13,1,1,0,0,53.83858360210227,1,0,0,0,0,0,3,11,0,75,10.080423895477221,2.4537164081085545,11.37184377444888,19.741185711387367,4.252261905897649,1.1246697110587993,0,0.5378178282534506,0.09920217744500502
