ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,TotalSpendings,Age,Tenure,TotalChildren,TotalSpent,TotalPurchases,Education_Encoded,Marital_Status_Encoded,Cluster
5524,1957,Graduation,Single,10.970591974102547,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,1617,68,6.498282149476434,0,7.388946097618437,22,1.0,0.0,5
2174,1954,Graduation,Single,10.743868690309933,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,27,71,4.736198448394496,2,3.332204510175204,4,1.0,0.0,4
4141,1965,Graduation,Together,11.179045864561353,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,776,60,5.746203190540153,0,6.655440350367647,20,1.0,1.0,9
6182,1984,Graduation,Together,10.190431852901,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,53,41,4.941642422609304,1,3.9889840465642745,6,1.0,1.0,0
5324,1981,PhD,Married,10.973254451090401,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,422,44,5.087596335232384,1,6.0473721790462776,14,3.0,1.0,2
7446,1967,Master,Together,11.043145810640238,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,716,58,5.683579767338681,1,6.57507584059962,20,2.0,1.0,2
965,1971,Graduation,Divorced,10.926585752727021,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,590,54,6.386879319362645,1,6.3818160174060985,17,1.0,0.0,5
6177,1985,PhD,Married,10.417956531216918,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,169,40,6.035481432524756,1,5.135798437050262,8,3.0,1.0,7
4855,1974,PhD,Together,10.320617692174796,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,51,5.963579343618446,1,3.8501476017100584,5,3.0,1.0,6
5899,1950,PhD,Together,8.639233817325263,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,49,75,4.6913478822291435,2,3.912023005428146,1,3.0,1.0,6
1994,1983,Graduation,Married,0.0,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,19,42,5.424950017481403,1,2.995732273553991,3,1.0,1.0,6
387,1976,Basic,Married,8.922791623969637,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,61,49,6.386879319362645,0,4.127134385045092,5,0.0,1.0,6
2125,1959,Graduation,Divorced,11.051429542337106,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,1102,66,5.424950017481403,0,7.005789019253503,15,1.0,0.0,9
8180,1952,Master,Divorced,10.991291642487635,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,310,73,5.424950017481403,2,5.739792912179234,12,2.0,0.0,7
2569,1987,Graduation,Married,9.759848102334518,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,46,38,6.4425401664681985,0,3.8501476017100584,4,1.0,1.0,6
2114,1946,PhD,Single,11.324195417595107,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,1315,79,6.368187186350492,0,7.182352111885263,25,3.0,0.0,9
9736,1980,Graduation,Married,10.641870970494749,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,96,45,6.315358001522335,2,4.574710978503383,6,1.0,1.0,6
4939,1946,Graduation,Together,10.539032102959615,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,317,79,6.504288173536645,0,5.762051382780177,11,1.0,1.0,7
6565,1949,Master,Married,11.251508751434526,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1782,76,6.129050210060545,1,7.48605261786314,24,2.0,1.0,5
2278,1985,2n Cycle,Single,10.428600622910189,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,133,40,6.403574197934815,1,4.897839799950911,6,,0.0,7
9360,1982,Graduation,Married,10.519780686235853,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,316,43,6.53813982376767,0,5.75890177387728,11,1.0,1.0,7
5376,1979,Graduation,Married,7.803026643632217,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1730,46,6.29156913955832,1,7.456454555176209,28,1.0,1.0,9
1993,1949,PhD,Married,10.978626485018596,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,972,76,6.317164686747284,1,6.880384082186005,14,3.0,1.0,7
4047,1954,PhD,Married,11.087130090388813,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,544,71,5.135798437050262,1,6.300785794663244,17,3.0,1.0,2
1409,1951,Graduation,Together,10.613737640995735,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,444,74,6.150602768446279,1,6.09807428216624,13,1.0,1.0,7
7892,1969,Graduation,Single,9.83037908071549,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,75,56,6.298949246855942,0,4.330733340286331,6,1.0,0.0,7
2404,1976,Graduation,Married,10.884816680589505,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,257,49,5.988961416889864,2,5.552959584921617,10,1.0,1.0,7
5255,1986,Graduation,Single,0.0,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,637,39,6.20455776256869,1,6.45833828334479,27,1.0,0.0,7
9422,1989,Graduation,Married,10.554796597479278,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,131,36,5.978885764901122,1,4.882801922586371,7,1.0,1.0,8
1966,1965,PhD,Married,11.345914106667006,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1672,60,5.393627546352362,0,7.422373700986824,25,3.0,1.0,9
6864,1989,Master,Divorced,9.30383071506352,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,30,36,3.6635616461296463,0,3.4339872044851463,6,2.0,0.0,4
3033,1963,Master,Together,10.561551448966803,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318,62,6.028278520230698,0,5.765191102784844,10,2.0,1.0,2
5710,1970,Graduation,Together,10.61026639832702,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,120,55,6.4425401664681985,1,4.795790545596741,7,1.0,1.0,7
